Kinases (NCBI_Gene_symbol),Entrez Gene_ID (Kinase),description,type_of_gene,map_location, Substrate (NCBI_Gene_symbol),Entrez Gene_ID (Substrate),description,type_of_gene,map_location
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,CAMKK1,84254,"calcium/calmodulin-dependent protein kinase kinase 1, alpha",protein-coding,17p13.2
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,HSF1,3297,heat shock transcription factor 1,protein-coding,8q24.3
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,IRS1,3667,insulin receptor substrate 1,protein-coding,2q36
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,FGR,2268,Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,protein-coding,1p36.2-p36.1
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,TMSB4XP8,7117,"thymosin beta 4, X-linked pseudogene 8",pseudo,4q22.1
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,EIF4B,1975,eukaryotic translation initiation factor 4B,protein-coding,12q13.13
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,NXF3,56000,nuclear RNA export factor 3,protein-coding,Xq22
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,HNRNPK,3190,heterogeneous nuclear ribonucleoprotein K,protein-coding,9q21.32-q21.33
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,NCBP1,4686,"nuclear cap binding protein subunit 1, 80kDa",protein-coding,9q34.1
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,CTTN,2017,cortactin,protein-coding,11q13
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,NFATC3,4775,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3",protein-coding,16q22.2
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,ASAP2,8853,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",protein-coding,2p25|2p24
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,DEPTOR,64798,DEP domain containing MTOR-interacting protein,protein-coding,8q24.12
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,PDCD4,27250,programmed cell death 4 (neoplastic transformation inhibitor),protein-coding,10q24
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,SRXN1,140809,sulfiredoxin 1,protein-coding,20p13
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,CCT2,10576,"chaperonin containing TCP1, subunit 2 (beta)",protein-coding,12q15
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,NFATC4,4776,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4",protein-coding,14q11.2
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,NDRG2,57447,NDRG family member 2,protein-coding,14q11.2
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,BACH2,60468,"BTB and CNC homology 1, basic leucine zipper transcription factor 2",protein-coding,6q15
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,MAPT,4137,microtubule-associated protein tau,protein-coding,17q21.1
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,SAFB2,9667,scaffold attachment factor B2,protein-coding,19p13.3
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,SMARCE1,6605,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",protein-coding,17q21.2
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,HCLS1,3059,hematopoietic cell-specific Lyn substrate 1,protein-coding,3q13
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,MXD1,4084,MAX dimerization protein 1,protein-coding,2p13-p12
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,HLCS,3141,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),protein-coding,21q22.13
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,TP63,8626,tumor protein p63,protein-coding,3q28
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,NCBP2,22916,"nuclear cap binding protein subunit 2, 20kDa",protein-coding,3q29
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,YWHAE,7531,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide",protein-coding,17p13.3
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,ASAP3,55616,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",protein-coding,1p36.12
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,GSK3B,2932,glycogen synthase kinase 3 beta,protein-coding,3q13.3
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,PHB2,11331,prohibitin 2,protein-coding,12p13
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,ESR1,2099,estrogen receptor 1,protein-coding,6q25.1
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,BAX,581,BCL2-associated X protein,protein-coding,19q13.3-q13.4
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,MDM2,4193,"MDM2 oncogene, E3 ubiquitin protein ligase",protein-coding,12q14.3-q15
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,TRIP6,7205,thyroid hormone receptor interactor 6,protein-coding,7q22
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,DOK1,1796,"docking protein 1, 62kDa (downstream of tyrosine kinase 1)",protein-coding,2p13
RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1,EIF4ENIF1,56478,eukaryotic translation initiation factor 4E nuclear import factor 1,protein-coding,22q11.2
RPS6KB2,6199,"ribosomal protein S6 kinase, 70kDa, polypeptide 2",protein-coding,11q13.2,HSPB1,3315,heat shock 27kDa protein 1,protein-coding,7q11.23
RPS6KB2,6199,"ribosomal protein S6 kinase, 70kDa, polypeptide 2",protein-coding,11q13.2,RICTOR,253260,"RPTOR independent companion of MTOR, complex 2",protein-coding,5p13.1
RPS6KB2,6199,"ribosomal protein S6 kinase, 70kDa, polypeptide 2",protein-coding,11q13.2,PRKACA,5566,"protein kinase, cAMP-dependent, catalytic, alpha",protein-coding,19p13.1
RPS6KB2,6199,"ribosomal protein S6 kinase, 70kDa, polypeptide 2",protein-coding,11q13.2,EEF2K,29904,eukaryotic elongation factor-2 kinase,protein-coding,16p12.2
RPS6KB2,6199,"ribosomal protein S6 kinase, 70kDa, polypeptide 2",protein-coding,11q13.2,ETS1,2113,v-ets erythroblastosis virus E26 oncogene homolog 1 (avian),protein-coding,11q23.3
RPS6KB2,6199,"ribosomal protein S6 kinase, 70kDa, polypeptide 2",protein-coding,11q13.2,KRT18,3875,keratin 18,protein-coding,12q13
RPS6KB2,6199,"ribosomal protein S6 kinase, 70kDa, polypeptide 2",protein-coding,11q13.2,GNA12,2768,guanine nucleotide binding protein (G protein) alpha 12,protein-coding,7p22.2
RPS6KL1,83694,ribosomal protein S6 kinase-like 1,protein-coding,14q24.3,SUFU,51684,suppressor of fused homolog (Drosophila),protein-coding,10q24.32
RPS6KL1,83694,ribosomal protein S6 kinase-like 1,protein-coding,14q24.3,GRK5,2869,G protein-coupled receptor kinase 5,protein-coding,10q26.11
SCYL1,57410,SCY1-like 1 (S. cerevisiae),protein-coding,11q13,CSRP3,8048,cysteine and glycine-rich protein 3 (cardiac LIM protein),protein-coding,11p15.1
SCYL1,57410,SCY1-like 1 (S. cerevisiae),protein-coding,11q13,DGCR8,54487,DGCR8 microprocessor complex subunit,protein-coding,22q11.2
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,CDCA7L,55536,cell division cycle associated 7-like,protein-coding,7p15.3
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,GAPDH,2597,glyceraldehyde-3-phosphate dehydrogenase,protein-coding,12p13
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,RAB5C,5878,"RAB5C, member RAS oncogene family",protein-coding,17q21.2
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,CLIC1,1192,chloride intracellular channel 1,protein-coding,6p21.3
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,UBTD2,92181,ubiquitin domain containing 2,protein-coding,5q35.1
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,TMSB4XP8,7117,"thymosin beta 4, X-linked pseudogene 8",pseudo,4q22.1
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,HNRNPK,3190,heterogeneous nuclear ribonucleoprotein K,protein-coding,9q21.32-q21.33
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,CTTN,2017,cortactin,protein-coding,11q13
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,EIF4B,1975,eukaryotic translation initiation factor 4B,protein-coding,12q13.13
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,MAPK1,5594,mitogen-activated protein kinase 1,protein-coding,22q11.21
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,URI1,8725,"URI1, prefoldin-like chaperone",protein-coding,19q12
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,YWHAE,7531,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide",protein-coding,17p13.3
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,FAM110A,83541,"family with sequence similarity 110, member A",protein-coding,20p13
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,HSPA1L,3305,heat shock 70kDa protein 1-like,protein-coding,6p21.3
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,PKM,5315,"pyruvate kinase, muscle",protein-coding,15q22
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,YWHAH,7533,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",protein-coding,22q12.3
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,ANXA2,302,annexin A2,protein-coding,15q22.2
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,PAXBP1,94104,PAX3 and PAX7 binding protein 1,protein-coding,21q21.3
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,GSN,2934,gelsolin,protein-coding,9q33
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,FGR,2268,Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,protein-coding,1p36.2-p36.1
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,HLCS,3141,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),protein-coding,21q22.13
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,NCALD,83988,neurocalcin delta,protein-coding,8q22.2
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,MBNL3,55796,muscleblind-like splicing regulator 3,protein-coding,Xq26.2
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,UBB,7314,ubiquitin B,protein-coding,17p12-p11.2
SCYL2,55681,SCY1-like 2 (S. cerevisiae),protein-coding,12q23.1,MDM2,4193,"MDM2 oncogene, E3 ubiquitin protein ligase",protein-coding,12q14.3-q15
SCYL3,57147,SCY1-like 3 (S. cerevisiae),protein-coding,1q24.2,TRIM26,7726,tripartite motif containing 26,protein-coding,6p21.3
SCYL3,57147,SCY1-like 3 (S. cerevisiae),protein-coding,1q24.2,CBL,867,"Cbl proto-oncogene, E3 ubiquitin protein ligase",protein-coding,11q23.3
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,FBXW7,55294,"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase",protein-coding,4q31.3
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,WNK4,65266,WNK lysine deficient protein kinase 4,protein-coding,17q21-q22
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,NDRG1,10397,N-myc downstream regulated 1,protein-coding,8q24.3
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,SLC2A4,6517,"solute carrier family 2 (facilitated glucose transporter), member 4",protein-coding,17p13
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,PIKFYVE,200576,"phosphoinositide kinase, FYVE finger containing",protein-coding,2q34
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,HCLS1,3059,hematopoietic cell-specific Lyn substrate 1,protein-coding,3q13
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,WNK1,65125,WNK lysine deficient protein kinase 1,protein-coding,12p13.3
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,CREB1,1385,cAMP responsive element binding protein 1,protein-coding,2q34
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,HTT,3064,huntingtin,protein-coding,4p16.3
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,NEDD4L,23327,"neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase",protein-coding,18q21
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,CARHSP1,23589,"calcium regulated heat stable protein 1, 24kDa",protein-coding,16p13.2
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,NCSTN,23385,nicastrin,protein-coding,1q22-q23
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,CDKN1B,1027,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",protein-coding,12p13.1-p12
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,NFKBIA,4792,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha",protein-coding,14q13
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,IKBKB,3551,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta",protein-coding,8p11.2
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,MAPK1,5594,mitogen-activated protein kinase 1,protein-coding,22q11.21
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,MAPT,4137,microtubule-associated protein tau,protein-coding,17q21.1
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,MTA1,9112,metastasis associated 1,protein-coding,14q32.3
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,FOXO3,2309,forkhead box O3,protein-coding,6q21
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,NDRG2,57447,NDRG family member 2,protein-coding,14q11.2
SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23,RICTOR,253260,"RPTOR independent companion of MTOR, complex 2",protein-coding,5p13.1
SGK2,10110,serum/glucocorticoid regulated kinase 2,protein-coding,20q13.2,PRKACA,5566,"protein kinase, cAMP-dependent, catalytic, alpha",protein-coding,19p13.1
SGK3,23678,"serum/glucocorticoid regulated kinase family, member 3",protein-coding,8q12,FLII,2314,flightless I homolog (Drosophila),protein-coding,17p11.2
SGK3,23678,"serum/glucocorticoid regulated kinase family, member 3",protein-coding,8q12,ITCH,83737,itchy E3 ubiquitin protein ligase,protein-coding,20q11.22
SGK3,23678,"serum/glucocorticoid regulated kinase family, member 3",protein-coding,8q12,FIP1L1,81608,factor interacting with PAPOLA and CPSF1,protein-coding,4q12
SGK494,124923,uncharacterized serine/threonine-protein kinase SgK494,protein-coding,17q11.2,PRNP,5621,prion protein,protein-coding,20p13
SGK494,124923,uncharacterized serine/threonine-protein kinase SgK494,protein-coding,17q11.2,PPP2CA,5515,"protein phosphatase 2, catalytic subunit, alpha isozyme",protein-coding,5q31.1
SIK1,150094,salt-inducible kinase 1,protein-coding,21q22.3,CBL,867,"Cbl proto-oncogene, E3 ubiquitin protein ligase",protein-coding,11q23.3
SIK1,150094,salt-inducible kinase 1,protein-coding,21q22.3,ASAP2,8853,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",protein-coding,2p25|2p24
SIK1,150094,salt-inducible kinase 1,protein-coding,21q22.3,CRK,1398,v-crk sarcoma virus CT10 oncogene homolog (avian),protein-coding,17p13.3
SIK1,150094,salt-inducible kinase 1,protein-coding,21q22.3,ZYX,7791,zyxin,protein-coding,7q32
SIK1,150094,salt-inducible kinase 1,protein-coding,21q22.3,KCNIP2,30819,Kv channel interacting protein 2,protein-coding,10q24
SIK2,23235,salt-inducible kinase 2,protein-coding,11q23.1,CEP250,11190,centrosomal protein 250kDa,protein-coding,20q11.22
SMG1,23049,"smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)",protein-coding,16p12.3,TP53,7157,tumor protein p53,protein-coding,17p13.1
SMG1,23049,"smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)",protein-coding,16p12.3,UPF1,5976,UPF1 regulator of nonsense transcripts homolog (yeast),protein-coding,19p13.2-p13.11
SNRK,54861,SNF related kinase,protein-coding,3p22.1,ZNF606,80095,zinc finger protein 606,protein-coding,19q13.4
SNRK,54861,SNF related kinase,protein-coding,3p22.1,CSRP3,8048,cysteine and glycine-rich protein 3 (cardiac LIM protein),protein-coding,11p15.1
SNRK,54861,SNF related kinase,protein-coding,3p22.1,MTA1,9112,metastasis associated 1,protein-coding,14q32.3
SNRK,54861,SNF related kinase,protein-coding,3p22.1,RIPK3,11035,receptor-interacting serine-threonine kinase 3,protein-coding,14q11.2
SNRK,54861,SNF related kinase,protein-coding,3p22.1,SOX10,6663,SRY (sex determining region Y)-box 10,protein-coding,22q13.1
SNRK,54861,SNF related kinase,protein-coding,3p22.1,POLR3D,661,"polymerase (RNA) III (DNA directed) polypeptide D, 44kDa",protein-coding,8q21
SNRK,54861,SNF related kinase,protein-coding,3p22.1,RGS14,10636,regulator of G-protein signaling 14,protein-coding,5q35.3
SNRK,54861,SNF related kinase,protein-coding,3p22.1,PHF17,79960,PHD finger protein 17,protein-coding,4q26-q27
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,G6PD,2539,glucose-6-phosphate dehydrogenase,protein-coding,Xq28
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,AR,367,androgen receptor,protein-coding,Xq12
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,ARAF,369,v-raf murine sarcoma 3611 viral oncogene homolog,protein-coding,Xp11.4-p11.2
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,WASF1,8936,"WAS protein family, member 1",protein-coding,6q21
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,GTF2I,2969,general transcription factor IIi,protein-coding,7q11.23
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,CDKN1B,1027,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",protein-coding,12p13.1-p12
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,TGFBR2,7048,"transforming growth factor, beta receptor II (70/80kDa)",protein-coding,3p22
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,L1CAM,3897,L1 cell adhesion molecule,protein-coding,Xq28
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,SH3GLB1,51100,SH3-domain GRB2-like endophilin B1,protein-coding,1p22
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,FIP1L1,81608,factor interacting with PAPOLA and CPSF1,protein-coding,4q12
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,GRB10,2887,growth factor receptor-bound protein 10,protein-coding,7p12.2
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,FBXO5,26271,F-box protein 5,protein-coding,6q25.2
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,CHRNA7,1139,"cholinergic receptor, nicotinic, alpha 7 (neuronal)",protein-coding,15q14
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,CHN2,1124,chimerin 2,protein-coding,7p15.3
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,RHOU,58480,ras homolog family member U,protein-coding,1q42.11-q42.3
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,GRIN2A,2903,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",protein-coding,16p13.2
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,G3BP1,10146,GTPase activating protein (SH3 domain) binding protein 1,protein-coding,5q33.1
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,RET,5979,ret proto-oncogene,protein-coding,10q11.2
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,SHC1,6464,SHC (Src homology 2 domain containing) transforming protein 1,protein-coding,1q21
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,CAV2,858,caveolin 2,protein-coding,7q31.1
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,PTPRA,5786,"protein tyrosine phosphatase, receptor type, A",protein-coding,20p13
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,CBL,867,"Cbl proto-oncogene, E3 ubiquitin protein ligase",protein-coding,11q23.3
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,FUBP1,8880,far upstream element (FUSE) binding protein 1,protein-coding,1p31.1
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,STAT1,6772,"signal transducer and activator of transcription 1, 91kDa",protein-coding,2q32.2
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,GRIN1,2902,"glutamate receptor, ionotropic, N-methyl D-aspartate 1",protein-coding,9q34.3
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,ITGB7,3695,"integrin, beta 7",protein-coding,12q13.13
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,PPP2CA,5515,"protein phosphatase 2, catalytic subunit, alpha isozyme",protein-coding,5q31.1
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,CFL1,1072,cofilin 1 (non-muscle),protein-coding,11q13
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,ARHGEF4,50649,Rho guanine nucleotide exchange factor (GEF) 4,protein-coding,2q22
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,ANXA1,301,annexin A1,protein-coding,9q21.13
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,HNRNPK,3190,heterogeneous nuclear ribonucleoprotein K,protein-coding,9q21.32-q21.33
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,GAB1,2549,GRB2-associated binding protein 1,protein-coding,4q31.21
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,AFAP1,60312,actin filament associated protein 1,protein-coding,4p16
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,CDC42,998,cell division cycle 42,protein-coding,1p36.1
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,HSP90AB1,3326,"heat shock protein 90kDa alpha (cytosolic), class B member 1",protein-coding,6p12
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,VIL1,7429,villin 1,protein-coding,2q35
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,PTK2,5747,protein tyrosine kinase 2,protein-coding,8q24.3
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,TFG,10342,TRK-fused gene,protein-coding,3q12.2
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,PTK2B,2185,protein tyrosine kinase 2 beta,protein-coding,8p21.1
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,DGKA,1606,"diacylglycerol kinase, alpha 80kDa",protein-coding,12q13.3
SRC,6714,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),protein-coding,20q12-q13,ARHGAP5,394,Rho GTPase activating protein 5,protein-coding,14q12
